,address,price
987,1803 hill,2800.0
988,10675 martz rd,1600.0
989,2124 abbot,1895.0
993,512 washtenaw,695.0
994,1580 siller terrace,1595.0
995,208 ballard,1195.0
996,1207 willard,6300.0
998,275 harbor way,1399.0
1001,1006 pontiac trail,1500.0
1002,2960 international drive,989.0
1010,3050 birch hollow dr,975.0
1011,3050 birch hollow dr,1095.0
1013,101 lake village,1555.0
1017,2960 international drive,839.0
1018,140 helle blvd,1190.0
1019,275 harbor way,1449.0
1020,1984 traver rd,1219.0
1023,3998 audrey rae lane,1165.0
1024,3998 audrey rae ln.,1155.0
1027,1245 astor ave,1235.0
1028,140 lauff drive,1040.0
1029,401 s. highlander way,878.0
1030,3050 birch hollow dr,975.0
1032,1550 brookfield dr,1359.0
1033,3008 randolph court dr.,1143.0
1036,3400 nixon rd,2736.0
1037,3400 nixon rd,2003.0
1038,525 w. highland rd,1029.0
1039,3400 nixon rd,1903.0
1042,"104 n. mill, plymouth, mi 48170",1100.0
1043,1006 pontiac trail #1,1500.0
1044,3400 nixon rd,1626.0
1045,1863 collins ct.,999.0
1046,3400 nixon rd,1501.0
1047,3400 nixon rd,1486.0
1048,275 harbor way,1885.0
1049,140 lauff,970.0
1050,275 harbor way,1499.0
1051,1837 davis st.,999.0
1052,2911 bynan dr.,909.0
1054,2044 mcdivitt ct,1363.0
1055,212 stevens drive,818.0
1056,212 stevens drive,918.0
1057,212 stevens dr,938.0
1058,212 stevens drive,918.0
1059,212 stevens drive,918.0
1060,212 stevens drive,918.0
1061,212 stevens drive,918.0
1062,212 stevens dr,818.0
1063,212 stevens drive,918.0
1064,212 stevens drive,918.0
1065,212 stevens drive,918.0
1066,212 stevens drive,918.0
1067,212 stevens drive,918.0
1072,1840 collins ct,999.0
1073,275 harbor way,1399.0
1075,1450 chestnut dr.,1145.0
1076,"7103 mckean rd,",500.0
1078,658 michigan ave,1050.0
1085,1005 maiden lane,1299.0
1087,2911 bynan dr,969.0
1088,1005 maiden lane,1359.0
1089,1005 maiden lane,1499.0
1092,133 edenwood dr,1311.0
1093,2345 woodridge way,959.0
1094,101 lake village,2251.0
1095,1984 traver rd,1229.0
1097,3100 s. winter st.,835.0
1100,2345 woodbridge,1109.0
1102,658 michigan ave,1650.0
1103,413 e huron,1249.0
1105,1355 s. winter st.,830.0
1106,825 tappan ave,1345.0
1107,275 harbor way,1499.0
1111,1984 traver rd,1469.0
1114,101 lake village,1276.0
1116,31170 wellington drive,1088.0
1118,3089 woodland hills dr,939.0
1122,2960 international,989.0
1123,140 lauff drive,1030.0
1125,2345 woodridge way,889.0
1126,2820 windwood,1675.0
1127,403 south fifth avenue apt. 2,2150.0
1129,520 n ashley st,1325.0
1130,1984 traver rd,1219.0
1131,2960 international drive,899.0
1133,2911 bynan dr.,909.0
1134,1751 cass lake front st,950.0
1136,1006 pontiac trail,1500.0
1144,1550 brookfield,1489.0
1151,27883 independence st,925.0
1152,27883 independence st,1090.0
1158,275 harbor way,1399.0
1160,4685 hunt club dr,1100.0
1161,3400 nixon rd,2731.0
1162,1510 plymouth rd,1132.0
1164,3400 nixon rd,2003.0
1165,41265 crossbow circle,1630.0
1166,3400 nixon rd,1903.0
1167,3400 nixon rd,1596.0
1168,3400 nixon rd,1501.0
1169,3400 nixon rd,1486.0
1170,275 harbor way,1499.0
1172,101 lake village,1539.0
1175,140 lauff,970.0
1176,525 w highland road,1029.0
1177,2820 windwood,1644.0
1180,908 sybil st,1625.0
1181,2911 bynan dr.,919.0
1183,3265 boardwalk drive,1410.0
1187,727 e kingsley st,1795.0
1191,103 fieldcrest st,1330.0
1193,6070 campbell rd,1200.0
1194,221 n fifth avenue,2200.0
1195,2820 windwood,1644.0
1196,2820 windwood,1483.0
1199,3000 signature blvd.,1388.0
1201,3000 signature blvd.,1353.0
1206,2820 windwood,1644.0
1208,2224 golfside drive,989.0
1209,2224 golfside drive,989.0
1210,2820 windwood,1675.0
1211,1006 pontiac trail,1500.0
1212,2224 golfside drive,1029.0
1220,1006 pontiac trail #1,1500.0
1224,2502 packard st.,1709.0
1225,2502 packard st.,1999.0
1226,955 sumpter road,1100.0
1228,2820 windwood,1675.0
1229,275 harbor way,1499.0
1230,275 harbor way,1399.0
1231,2820 windwood,1483.0
1232,2201 glencoe hills dr,2179.0
1233,3000 signature blvd.,1407.0
1237,275 harbor way,1499.0
1242,2224 golfside drive,1029.0
1243,2224 golfside drive,1076.0
1245,3100 s. winter st.,880.0
1246,2820 windwood,1644.0
1247,3100 s. winter st.,835.0
1249,1355 s. winter st.,830.0
1250,2224 golfside drive,989.0
1251,525 west highland rd,1029.0
1254,2820 windwood,1644.0
1260,955 sumpter road,1100.0
1261,1984 traver rd,1229.0
1263,1984 traver rd,1219.0
1264,2201 glencoe hills drive,1099.0
1265,101 lake village,1276.0
1266,101 lake village,1502.0
1269,275 harbor way,1499.0
1274,3050 birch hollow dr,1210.0
1275,309 n. hamilton,575.0
1276,1980 pauline boulevard,1189.0
1278,1984 traver rd,1469.0
1280,603 e. huron street,999.0
1281,603 e. huron street,1049.0
1282,2501 keystone ln,840.0
1283,2501 keystone ln,840.0
1285,2501 keystone ln,1040.0
1286,2501 keystone ln,1040.0
1288,275 harbor way,1885.0
1289,2960 international drive,859.0
1293,101 lake village,1276.0
1295,2820 windwood,1483.0
1296,3050 birch hollow dr,1510.0
1297,1984 traver rd,1219.0
1298,2201 glencoe hills drive,929.0
1299,140 lauff drive,1040.0
1300,1107 s university ave,800.0
1302,275 harbor way,1399.0
1303,3050 birch hollow dr,1150.0
1304,140 lauff,970.0
1307,525 west highland rd,1029.0
1308,27883 independence st,825.0
1309,1099 maiden lane,2095.0
1312,27883 independence st,1090.0
1313,1751 cass lake front st,950.0
1314,574 town trail,1500.0
1318,2911 bynan dr.,989.0
1319,2820 windwood,1644.0
1320,3050 birch hollow dr,1075.0
1326,275 harbor way,1499.0
1327,3016 cloverly lane,1400.0
1328,118 w oakbrook dr,2000.0
1331,1980 pauline boulevard,1209.0
1338,3000 signature blvd.,1353.0
1341,1245 astor ave,1500.0
1347,101 lake village,1502.0
1349,275 harbor way,1399.0
1351,1863 collins ct.,999.0
1352,1840 collins ct,999.0
1353,1837 davis st.,999.0
1354,2044 mcdivitt ct.,1364.0
1355,1840 collins ct,999.0
1356,1050 fishville rd,2099.0
1359,3050 birch hollow dr,975.0
1361,3050 birch hollow dr,1515.0
1365,1984 traver rd,1499.0
1371,101 lake village,1781.0
1372,2820 windwood,1644.0
1373,2501 keystone lane,915.0
1376,8719 meadowbrook unit 12,850.0
1378,27883 independence st,1090.0
1380,2501 keystone lane,1040.0
1386,2501 keystone lane,915.0
1390,140 lauff drive,1030.0
1391,2820 windwood,1675.0
1392,1505 natalie ln,1245.0
1395,1837 davis st.,999.0
1397,2044 mcdivitt ct.,1364.0
1401,1245 astor,1590.0
1404,275 harbor way,1499.0
1406,2960 international dr.,989.0
1407,2230 melbourne,1429.0
1412,2230 melbourne ave.,1304.0
1413,1984 traver rd,1219.0
1414,401 s. highlander way,878.0
1416,275 harbor way,1499.0
1417,2230 melbourne ave.,1304.0
1418,1131 nielsen ct,1300.0
1423,2021 medford rd,1229.0
1424,2960 international drive,1019.0
1425,2820 windwood,1483.0
1426,140 lauff drive,1040.0
1427,2021 medford rd,1529.0
1431,212 stevens drive,918.0
1432,2911 bynan dr.,909.0
1436,140 lauff drive,970.0
1437,512 n ashley st,1295.0
1438,2501 keystone lane,1040.0
1439,3998 audrey rae ln.,1165.0
1440,2201 glencoe hills drive,929.0
1441,525 west highland rd,1029.0
1442,212 stevens drive,918.0
1443,212 stevens drive,918.0
1444,201 e madison st,3345.0
1447,3998 audrey rae ln.,1165.0
1448,518 e william st,3295.0
1449,2960 international,1019.0
1452,1980 pauline boulevard,1189.0
1453,512 n ashley st,1295.0
1455,22250 swan road,765.0
1458,2820 windwood,1644.0
1460,140 lauff,970.0
1461,1984 traver road,1239.0
1463,520 n ashley st,1395.0
1466,1863 collins ct.,999.0
1467,1840 collins ct,999.0
1468,1837 davis st.,999.0
1469,3265 boardwalk drive,1410.0
1470,518 e william st,1780.0
1471,2044 mcdivitt ct.,1364.0
1473,520 n ashley st,1325.0
1477,3050 birch hollow dr,975.0
1478,1984 traver rd,1219.0
1479,955 sumpter road,1100.0
1481,211 washington,900.0
1491,3050 birch hollow dr,1095.0
1492,2820 windwood,1644.0
1493,108 washtenaw,800.0
1495,108 washtenaw,800.0
1496,108 washtenaw,800.0
1498,211 washington,700.0
1501,2960 international dr.,839.0
1503,2960 international dr.,989.0
1505,1984 traver rd,1469.0
1506,727 e kingsley st,1795.0
1507,525 west highland rd,1029.0
1511,2820 windwood,1483.0
1513,140 lauff drive,970.0
1514,275 harbor way,1399.0
1516,1816 stadium place,1019.0
1519,2960 international dr.,989.0
1521,3400 nixon rd,2731.0
1522,3400 nixon rd,2003.0
1523,3400 nixon rd,1903.0
1524,3998 audrey rae ln.,1200.0
1525,3400 nixon rd,1596.0
1526,3400 nixon rd,1501.0
1527,3400 nixon rd,1486.0
1528,512 n ashley st,1295.0
1529,527 s 4th ave,1295.0
1530,2501 keystone ln,840.0
1531,2501 keystone ln,840.0
1532,2501 keystone ln,1040.0
1533,2501 keystone ln,1040.0
1534,1550 brookfield,1549.0
1535,825 tappan ave,1045.0
1536,1116 norman place,1049.0
1538,414 s division st,1295.0
1539,3050 birch hollow dr,1170.0
1540,508 n hamilton,600.0
1541,11 n normal,800.0
1542,140 lauff,1040.0
1543,1984 traver rd,1489.0
1544,111 n ashley,2500.0
1545,101 lake village,1862.0
1549,518 e william,1765.0
1552,2960 international dr.,959.0
1554,518 e william st,2395.0
1555,275 harbor way,1885.0
1557,518 e william st,874.0
1561,2201 glencoe hills drive,929.0
1562,1315 oak valley dr,1425.0
1563,1505 natalie lane,1265.0
1564,2911 bynan dr.,859.0
1565,155 lake village dr,1522.0
1570,518 e william st,1825.0
1572,1550 brookfield,1499.0
1577,41265 crossbow circle,1425.0
1581,2960 international drive,889.0
1582,275 harbor way,1499.0
