,address,price,Latitude,Longitude
596,3998 audrey rae ln.,1165.0,42.23897849959804,-83.71850497747207
597,3998 audrey rae ln.,1200.0,55.8979778,-4.1931659
598,3050 birch hollow dr,1210.0,42.2449827138505,-83.67153307062043
599,1100 hunters run dr,1799.0,28.195649821265523,-82.75480659654963
600,2044 mcdivitt ct,1364.0,28.195649821265523,-82.75480659654963
605,101 lake village,1560.0,28.195649821265523,-82.75480659654963
607,1840 collins ct,999.0,28.195649821265523,-82.75480659654963
608,140 lauff,970.0,28.195649821265523,-82.75480659654963
609,508 hill st,1325.0,42.248894899999996,-83.74726903728029
611,2001 huron parkway,1150.0,42.248894899999996,-83.74726903728029
619,275 harbor way,1499.0,39.86665767014796,-75.2747500548714
620,553 s 4th ave,1145.0,39.86665767014796,-75.2747500548714
622,275 harbor way,1399.0,39.86665767014796,-75.2747500548714
623,1245 astor ave,1590.0,39.86665767014796,-75.2747500548714
624,527 s 4th ave,1845.0,39.86665767014796,-75.2747500548714
625,311 jarvis,810.0,39.86665767014796,-75.2747500548714
627,3265 boardwalk drive,1410.0,39.86665767014796,-75.2747500548714
629,2960 birch hollow dr,1179.0,42.248894899999996,-83.74726903728029
630,2960 birch hollow dr,1209.0,51.5806351,-0.3871478
634,1072 rambling road,1495.0,42.2575998,-83.6601296
635,1184 lexington pkwy,1425.0,51.511027,-0.1222913
636,1061 centennial ave.,1895.0,51.511027,-0.1222913
637,741 dorset ave,1295.0,35.636491094846,-88.83592056607722
640,2756 s knightsbridge circle,1600.0,42.30154991677406,-83.72719734545764
650,955 sumpter road,1100.0,51.5363542,0.1656072
652,2310 pinecrest,1700.0,37.663947,68.8332062
655,507 n hamilton,1300.0,32.3073622,-86.3458028
656,2911 bynan,939.0,-29.8091218,131.6466159
658,954 w cross,995.0,42.30154991677406,-83.72719734545764
659,2820 windwood,1644.0,39.2829459,-76.6018054
661,2820 windwood,1644.0,42.61367487033016,-83.34652041001483
662,2960 birch hollow dr,1319.0,42.504752,-83.6317486
664,22250 swan rd,774.0,42.449056451119546,-83.32349758372676
665,2960 birch hollow dr,1009.0,42.449056451119546,-83.32349758372676
666,1550 brookfield,1579.0,42.248894899999996,-83.74726903728029
667,1550 brookfield,1579.0,39.9411721,-76.6646042
668,3050 birch hollow dr,1250.0,28.195649821265523,-82.75480659654963
670,1984 traver rd,1379.0,28.195649821265523,-82.75480659654963
674,607 n. river st.,1300.0,28.195649821265523,-82.75480659654963
684,3089 woodland hills dr,939.0,42.284972,-83.739668
686,600 hidden valley club drive,1260.0,36.5665318103421,-86.67282766315623
688,908 sybil st,1595.0,32.3073622,-86.3458028
690,2001 huron parkway,1145.0,42.241313,-83.755837
691,2930 roundtree blvd.,939.0,42.241313,-83.755837
694,2960 international drive,889.0,36.2071354170498,-115.28893900466245
695,2201 glencoe hills,1099.0,32.3073622,-86.3458028
702,518 e william st,3295.0,32.3073622,-86.3458028
705,140 lauff drive,1030.0,32.3073622,-86.3458028
706,1980 pauline boulevard,1149.0,42.25495460431768,-83.67380888701187
708,2501 keystone ln,1040.0,42.248894899999996,-83.74726903728029
709,2501 keystone ln,1040.0,36.2071354170498,-115.28893900466245
710,2001 huron parkway,1150.0,36.2071354170498,-115.28893900466245
711,1550 brookfield,1549.0,41.874867,-84.037706
712,2501 keystone ln,840.0,32.3073622,-86.3458028
713,2001 huron parkway,1195.0,41.874867,-84.037706
714,2501 keystone ln,840.0,41.877684,-84.03765
716,1103 s latson rd,995.0,36.303609376899054,-82.3516509491529
718,1103 s latson rd,995.0,42.19403404081633,-83.48415716326531
720,1984 traver rd,1229.0,42.30154991677406,-83.72719734545764
722,213 s. 4th ave,2395.0,41.30368816987742,-101.92617845313801
725,212 stevens dr,918.0,42.23897849959804,-83.71850497747207
726,27883 independence st,825.0,42.822890145231035,-83.94117047330856
727,3089 woodland hills dr,1249.0,42.26804544897959,-83.77355891836734
728,212 stevens dr,918.0,42.30154991677406,-83.72719734545764
729,212 stevens dr,818.0,42.281278262626266,-83.74069102020202
730,212 stevens dr,818.0,42.281278262626266,-83.74069102020202
731,212 stevens dr,918.0,42.262155,-83.779853
732,212 stevens dr,918.0,42.262155,-83.779853
734,275 harbor way,1885.0,42.262155,-83.779853
736,518 e william st,2395.0,39.2829459,-76.6018054
737,321 williamsen dr,1070.0,41.30368816987742,-101.92617845313801
738,2960 international drive,989.0,32.3073622,-86.3458028
741,2020 arbor circle east,1449.0,42.25495460431768,-83.67380888701187
742,2020 arbor circle east,1229.0,42.07834041735565,-83.69042561583056
743,2020 arbor circle east,1099.0,40.010572934677995,-105.27842106122608
745,2020 arbor circle east,1099.0,42.23897849959804,-83.71850497747207
747,2020 arbor circle east,1229.0,36.303609376899054,-82.3516509491529
748,459 village green blvd,1347.0,42.449056451119546,-83.32349758372676
749,525 west highland rd,1004.0,51.511027,-0.1222913
750,2020 arbor circle east,1049.0,42.449056451119546,-83.32349758372676
751,1005 maiden lane,1499.0,42.61367487033016,-83.34652041001483
752,1005 maiden lane,1359.0,42.462622154450244,-83.94046515299911
755,2020 arbor circle east,1229.0,42.23897849959804,-83.71850497747207
756,553 s 4th ave,1145.0,42.248894899999996,-83.74726903728029
757,275 harbor way,1449.0,40.1086244,-75.1092619
764,2835 roundtree blvd,1039.0,42.53105295884219,-83.57570862365843
