,address,price
1516,2820 windwood,1483
1517,catherine street,850
1518,140 lauff drive,970
1519,275 harbor way,1399
152,329 jarvis street,795
1520,twin lakes drive,909
1521,1816 stadium place,1019
1524,2960 international dr.,989
1526,3400 nixon rd,2731
1527,3400 nixon rd,2003
1528,3400 nixon rd,1903
1529,3998 audrey rae ln.,1200
153,329 jarvis street,795
1530,3400 nixon rd,1596
1531,3400 nixon rd,1501
1532,3400 nixon rd,1486
1533,512 n ashley st,1295
1534,527 s 4th ave,1295
1535,2501 keystone ln,840
1536,2501 keystone ln,840
1537,2501 keystone ln,1040
1538,2501 keystone ln,1040
1539,1550 brookfield,1549
154,958 west cross street,2195
1540,825 tappan ave,1045
1541,1116 norman place,1049
1542,twin lakes drive,959
1543,414 s division st,1295
1544,3050 birch hollow dr,1170
1545,508 n hamilton,600
1546,11 n normal,800
1547,140 lauff,1040
1548,1984 traver rd,1489
1549,111 n ashley,2500
155,805 congress st.,815
1550,101 lake village,1862
1552,twin lakes drive,959
1553,lancashire drive,1679
1554,518 e william,1765
1557,2960 international dr.,959
1559,518 e william st,2395
156,805 congress,1295
1560,275 harbor way,1885
1563,518 e william st,874
1566,twin lakes drive,889
1567,2201 glencoe hills drive,929
1568,1315 oak valley dr,1425
1569,1505 natalie lane,1265
157,705 pearl street,1995
1570,2911 bynan dr.,859
1571,155 lake village dr,1522
1572,liberty,1425
1573,schooner cove boulevard,979
1574,south main street,1522
1575,stadium blvd,1039
1576,518 e william st,1825
1577,packard,4080
1578,1550 brookfield,1499
158,615 pearl street,750
1583,41265 crossbow circle,1425
1587,2960 international drive,889
1588,275 harbor way,1499
1589,2820 windwood,1675
159,615 pearl street,675
1590,leslie circle,1559
1591,4854 washtenaw,1260
1592,1863 collins ct.,999
1593,1840 collins ct,999
1594,1837 davis st.,999
1595,2044 mcdivitt ct.,1364
1597,332 e willian,1060
1598,332 e william,1225
1599,332 e william,1595
16,10910 independence lane,859
160,615 pearl street,695
1600,409 s division,5175
1601,530 s division,7200
1602,stadium blvd,1229
1603,stadium blvd,1229
1604,1400 morton ave,1400
1605,stadium blvd,1229
1607,2130 washtenaw avenue,2195
1608,glencoe hills dr.,899
161,615 pearl street,695
1610,2856 barclay way,1850
1612,955 sumpter road,1100
1613,2820 windwood,1483
1614,2820 windwood,1644
1615,2973 west clark rd,999
1616,schooner cove boulevard,979
1617,2973 west clark rd,1299
1618,1355 s. winter st.,680
1619,2911 bynan dr.,967
162,212 north summit street,1245
1620,140 lauff drive,1030
1621,1980 pauline boulevard,1189
1622,schooner cove boulevard,889
1623,leslie circle,1739
1624,1550 brookfield,1529
1625,twin lakes drive,959
1626,ann arbor saline rd,2251
1627,1647 franklin,1900
1628,1980 pauline boulevard,1209
1629,1550 brookfield dr,1239
163,207 ballard street,1095
1630,twin lakes drive,1109
1631,2501 keystone lane,915
1633,1984 traver rd,1219
1635,2501 keystone lane,1040
1636,1550 brookfield,1579
1637,leslie circle,1879
1638,s main street,1495
1639,275 harbor way,1499
164,329 jarvis street,1095
1641,twin lakes drive,939
1642,727 e kingsley st,1795
1643,520 n ashley st,1325
1644,stadium blvd,1229
1645,schooner cove blvd,979
1646,140 lauff drive,1040
1649,1550 brookfield,1549
165,9 south summit st.,2095
1650,ann arbor saline rd,1784
1651,321 williamsen dr,1070
1652,golfside road,1129
1653,pauline,1189
1654,2960 international dr.,869
1657,2501 keystone lane,915
1658,2501 keystone lane,1040
1659,1984 traver rd,1489
166,116 north summit street,1695
1660,40530 tamarack dr,929
1661,27883 independence st,825
1662,27883 independence st,1090
1663,3400 nixon rd,2731
1664,3400 nixon rd,2003
1665,3400 nixon rd,1903
1666,3400 nixon rd,1596
1667,3400 nixon rd,1501
1668,3400 nixon rd,1486
1669,twin lakes drive,919
167,124 north summit street,1295
1670,schooner cove blvd,829
1671,1980 pauline boulevard,1209
1672,stadium blvd,1229
1673,2230 melbourne,1304
1675,harriet,1350
1676,2311 lancashire drive,1249
1677,275 harbor way,1885
1678,stadium blvd,1079
168,125 north summit street,1245
1680,3100 s. winter st.,825
1682,3050 birch hollow dr,1410
1683,1980 pauline boulevard,1209
1685,1984 traver rd,1369
1686,518 e william,2395
1687,stadium blvd,1199
1689,275 harbor way,1499
169,125 north summit street,769
1690,1751 cass lake front st,950
1691,1919 dexter avenue,2450
1692,golfside,875
1693,1980 pauline boulevard,1189
1694,8100 east jefferson avenue,10105
1695,leslie circle,1419
1696,twin lakes drive,1119
1698,golfside,995
17,4873 packard st,955
170,207 ballard street,975
1702,5800 benson dr,759
1703,525 w. highland rd,1029
1705,140 lauff drive,970
1706,5800 benson dr,817
1707,south main street,1534
1709,2911 bynan,909
171,207 ballard street,1045
1710,1980 pauline blvd,1029
1711,275 harbor way,1399
1712,275 harbor way,1499
1713,2960 international drive,889
1716,twin lakes drive,889
1717,41265 crossbow circle,1130
1719,5800 benson dr,749
172,2835 roundtree blvd,969
1720,41265 crossbow circle,1130
1721,16000 silver parkway,1345
1722,16000 silver parkway,1345
1723,1863 collins ct.,999
1724,1840 collins ct,999
1725,1533 pine valley blvd,1200
1726,1837 davis st.,999
1727,2044 mcdivitt ct.,1364
1728,403 south fifth avenue,2150
1729,2973 west clark rd,1299
173,212 stevens drive,818
1731,2201 glencoe hills drive,1109
1732,pauline blvd,1189
1733,1550 brookfield,1579
1734,stadium blvd,1039
1735,schooner cove blvd,889
1736,1984 traver rd,1369
1737,955 sumpter road,1100
1738,2973 west clark rd.,1299
1739,2960 birch hollow dr,1209
1740,south main street,1495
1741,pauline blvd,1189
1742,2820 windwood,1644
1743,1993 arbor woods blvd,1299
1744,201 s. first st.,2405
1745,1751 cass lake front st,950
1746,1550 brookfield,1549
1747,1315 oak valley dr,1315
1748,140 lauff drive,1030
1749,201 s. 1st street,2385
175,3050 birch hollow dr,975
1751,2501 keystone ln,840
1752,leslie circle,1389
1753,2501 keystone ln,840
1754,2501 keystone ln,1040
1755,2501 keystone ln,1040
1756,1984 traver rd,1219
1757,1980 pauline boulevard,1309
1758,1550 brookfield dr,1359
1759,1355 s. winter st.,680
1760,2960 international drive,1019
1761,south main street,1929
1762,south main street,1495
1763,2960 birch hollow dr,1039
1765,schooner cove blvd,979
1766,pauline,1029
1767,stadium blvd,1199
1768,1984 traver rd,1219
1769,16000 silver parkway,1345
177,2044 mcdivitt ct.,1250
1770,459 village green blvd,1349
1771,2911 bynan dr.,909
1772,3400 nixon rd,2724
1773,south main street,1280
1774,3400 nixon rd,2003
1775,3400 nixon rd,1903
1776,3400 nixon rd,1581
1777,3400 nixon rd,1486
1778,3400 nixon rd,1471
1779,pepperidge trail,2300
1780,kenicott,1700
1781,dufree,1300
1783,town commons,2400
1784,leith,2200
1785,16000 silver parkway,1345
1786,2960 birch hollow dr,1009
1787,140 lauff,1040
1788,kellogg st,1250
1789,3100 s. winter st.,815
179,600 hidden valley club drive,990
1790,pauline blvd,1189
1791,leslie circle,1879
1792,539 packard,4250
1793,golfside,995
1794,golfside,875
1796,201 e madison st,3345
1798,140 lauff drive,970
1799,2960 birch hollow dr,1029
18,214 south hewitt,880
180,2960 birch hollow dr,1209
1800,1021 north rd. #d3,600
1801,south main street,1507
1802,2973 west clark rd,999
1803,2973 west clark rd,1299
1804,1980 pauline boulevard,1209
1806,1245 astor,1670
1807,2200 fuller ct,1880
1808,401 s. highlander way,878
1809,39 menlo park,15900
181,3089 woodland hills dr,1249
1810,2911 bynan dr.,969
1811,210 n thayer st.,4500
1812,212 stevens drive,918
1813,1004 s main,3400
1819,510 north center street,900
182,1550 brookfield,1579
1820,525 west highland rd,1029
1821,2911 bynan,969
1822,518 e william st,2395
1823,1863 collins ct.,999
1825,1840 collins ct,999
1826,1837 davis st.,999
1827,2044 mcdivitt ct.,1364
1828,3265 boardwalk drive,1530
1829,2973 west clark rd.,1149
183,e clark,635
1830,2973 west clark rd,1299
1832,416 s. 5th avenue,2190
1833,396 west delhi,1580
1834,396/398 west delhi,1580
1835,396/398 west delhi,1580
1836,west delhi road,1580
1837,396/398 west delhi,1580
1838,396/398 west delhi,1580
184,1980 pauline boulevard,1229
1841,258 plymouth road,1190
1842,155 lake village dr,1587
1843,414 s division st,1295
1845,2224 golfside drive,1076
1846,2224 golfside drive,989
1847,2973 west clark rd,999
1848,2820 windwood,1675
1850,101 lake village,1491
1851,101 lake village,1284
1854,2820 windwood,1644
1855,emmet,875
1856,emmet,1200
1857,2973 west clark,1299
1858,101 lake village,1507
1860,downing,1500
1861,dunlavy lane,1450
1862,2502 packard st,1450
1863,101 lake village,1289
1864,101 lake village,1587
1865,700 miller,2400
